Komentar,Preprocessed Text,Sentiment
"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",mba gk sih gk merem melek gitu matanya kaya orang cacingan,bulliying
"""Semoga lancar terus usahanya mel""",semoga lancar usahanya mel,non-bulliying
"""Cantik banget kalo meldi muka natural kek gini""",cantik banget kalo meldi muka natural kek gini,non-bulliying
"""Lu diem aja cantik mel kalo ga banyak gaya serius""",lu diem aja cantik mel kalo ga gaya serius,non-bulliying
"""Kaku kek kanebo kering hahaha""",kaku kek kanebo kering hahaha,bulliying
"""Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say""",glowing say… natural kayak gini bagus tambahin prestasi nya ya say,non-bulliying
"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek""",meldi emaknya buka klinik totok aura kayaknya anaknya gak ditotok ya… auranya gak keliatan yg butek,bulliying
"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",muka lo pasaran mel pasar sapi noh,bulliying
"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",maap gua nyamain lu dugong emang,bulliying
"""Iya lo kamu mirip monyet mel""",iya lo monyet mel,bulliying
"""Bagusan pantat panci aing atuh anjir""",bagusan pantat panci aing atuh anjir,bulliying
"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",ya emang ga muka muka badak muka beton ga malu,bulliying
"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",mbak meldi cantik ya rahasianya,non-bulliying
"""Lengannya gempal banget sih HAHA""",lengannya gempal banget sih haha,bulliying
"""Fix yang komen semua nyela""",fix komen nyela,non-bulliying
"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",udah ka gausah digubris gausah dipikirin bersyukur aja nikmat tuhan udah dikasih kaka gausah ngatain orang ka tetep bersyukur nikmatnya,non-bulliying
"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",jari jari nya gede gede banget pas ngiklan makan ikan danau hambar jarinya kayak jempol hawak bener,bulliying
"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",disamain muka rosameldianti orang oi mintanya disamain babi,bulliying
"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",ga dibawah meldi setara kekurangan kelebihan,non-bulliying
"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",ka mel gausah merendahkan orang bersyukur aja diatas langit langit,non-bulliying
"""Mukanya kalau gak dibantu kamera dekil dan kumel""",mukanya gak dibantu kamera dekil kumel,bulliying
"""Semua wanita cantik, jangan suka merasa lebih ah""",wanita cantik suka ah,non-bulliying
"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",meldi udah kontrak endorse skincare ya mukanya jelek si,bulliying
"""Gila Netizen pada sempurna ngehina orang terus""",gila netizen sempurna ngehina orang,non-bulliying
"""Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik""",dah ngembang… habis cowo meldi enak ya otak atik,bulliying
"""Karena muka kayak elo pasaran dan murah…""",muka kayak elo pasaran murah…,bulliying
"""Muka buluk kepedean lagi.. muka udah tua""",muka buluk kepedean muka udah tua,bulliying
"""Muka lu kaya tai wkwkwk""",muka lu kaya tai wkwkwk,bulliying
"""Sakit jiwa ini upil gajah… Kasihan""",sakit jiwa upil gajah… kasihan,bulliying
"""Jelek macam buntut kuali hahaha""",jelek buntut kuali hahaha,bulliying
"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…""",meldi kurusan ya cantik make up…,non-bulliying
"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",elu semoga semakinlebih akhlak etikanya,non-bulliying
"""Mbak mell sehat dan sukses ya""",mbak mell sehat sukses ya,non-bulliying
"""Aamiin. Doa baik juga untuk Meldi""",aamiin doa meldi,non-bulliying
"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",selamat mbak semoga pribadi amin,non-bulliying
"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",meldi cantik loh tinggal dibenerin akhlak adabnya sip,non-bulliying
"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",pengambilan fotonya bagus mantap keren tinggal pengambilan arwah nya aja,non-bulliying
"""Nggak ada cantik-cantik nya hahaha""",nggak cantikcantik nya hahaha,bulliying
"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",kasian editornya sih nanggung dosa banget kayaknya ngeditnya offside gini,bulliying
"""Lama lama mirip dewi persik ya""",dewi persik ya,non-bulliying
"""pada julid padahal kan meldi gak nyusahin kalian""",julid meldi gak nyusahin,bulliying
"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",foto w masukin museum aja ya ga pantas2nya,bulliying
"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",nggak ngumpul bareng mami isa gembrot disana,bulliying
"""Lagu lu ga ada yang laku ya mel??""",lagu lu ga laku ya mel,non-bulliying
"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",lututnya hitam gosok maning biar cling cantik,bulliying
"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",suka heran warga 62 sukanya ngehujat orang mulu pahala kagak dosa mah iya,non-bulliying
"""Tambah cantik aja rosa meldianti""",cantik aja rosa meldianti,non-bulliying
"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",ular dugong,bulliying
"""Saya kok suka ya sama mereka harmonis""",suka ya harmonis,non-bulliying
"""Cantik banget kalau pakai baju kayak gitu""",cantik banget pakai baju kayak gitu,non-bulliying
"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",jujur ya kalo anteng ga cantik mel,non-bulliying
"""Cowoknya ga ada cakep cakepnya""",cowoknya ga cakep cakepnya,non-bulliying
"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",foto tirus kalo video wariorr mukanya kek donat gak bentuknya,bulliying
"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",sekian foto diposting cantik,non-bulliying
"""Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang""",artis abalabal muka putih tangan hitam… ager2 atm nya udah isi,bulliying
"""Itu muka kayak penuh tekanan banget""",muka kayak penuh tekanan banget,bulliying
"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",rosameldianti cowokmu wajah nya culun cupu kayak om2,bulliying
"""Masyaallah cantik terlihat sopan dan anggun""",masyaallah cantik sopan anggun,non-bulliying
"""Kang ojek kali belang tangannya""",kang ojek kali belang tangannya,bulliying
"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",seneng liat pasangan cewenya hujat 1 indonesia tetep setia nemenin,non-bulliying
"""Dia memutuskan menjadi tumbal apartment""",memutuskan tumbal apartment,bulliying
"""makin cantik mel, semangat dietnyaa""",cantik mel semangat dietnyaa,non-bulliying
"""Itu tangan apa paha haha….""",tangan paha haha…,bulliying
"""Mel disini kamu keliatan cakep""",mel keliatan cakep,non-bulliying
"""Mukanya kayak lagi ngeden pas boker""",mukanya kayak ngeden pas boker,bulliying
"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..""",aduuh halu hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa mimpi ketinggian,bulliying
"""salfok sama kaki, tapi cantik banget asli""",salfok kaki cantik banget asli,non-bulliying
"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…""",dy1412 buset cantik diedit aja mba coba dah aslinya dah kayak buntelan kentut…,bulliying
"""atas bawah hitam putih, kek kopi luwak""",hitam putih kek kopi luwak,bulliying
"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",palsu badane diedit tu aslinya dimana2 lemak,bulliying
"""Udah dapat kontrak dari skincare ttp aja buluk mel""",udah kontrak skincare ttp aja buluk mel,bulliying
"""heran sama netizen klo gk suka jangan diliat aja""",heran netizen klo gk suka diliat aja,non-bulliying
"""sukses selalu yah ka @rosameldianti_ semangat""",sukses yah ka rosameldianti semangat,non-bulliying
"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",jujur suka meldi suka ngehujat orang,non-bulliying
"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",sumpah aslinya muka lo lebar kayak baskom loh mel rosameldianti,bulliying
"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",berkarya teros meldi walo ga yg nuntun,non-bulliying
"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",astaghfirullah seram ya bun ular jelmaan makhluk halus ya bun,bulliying
"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",heran cowokpun ngebully sabar meldi,non-bulliying
"""Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..""",astaga… ratu edit muka sumpah seren kayak film setan2 gitu…,bulliying
"""Matanya kayak katarak anjir AHAHAH""",matanya kayak katarak anjir ahahah,bulliying
"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",caption aja copas cantumin credit dasar iblis,bulliying
"""Unfoll aja daripada kalian dosa ngebully2 terus..""",unfoll aja dosa ngebully2,non-bulliying
"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",meldi perhatikan orang china deh cantik,non-bulliying
"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",editan softlensnya mbaknya kayak ratu titisan ular wkwkwk,bulliying
"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",kasihan ular dibawa bawa gak ular pantasnya bunglon buaya,bulliying
"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",maju trus ya sayang abaikan orang2 yg comment menyakitkan,non-bulliying
"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?""",kasihan ya rosameldianti hidup cuman bahan hujatan masyarakat… mubadzir banget deh hidup lo… napa gak bunuh aja,bulliying
"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",semangat mel bahasa asing mah berani entarnya,non-bulliying
"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",beda d foto yaa lebar banget mukanya maaf foto editan ya,bulliying
"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",meldi kadang mulut ku rem kehaluanmu bangga berusaha mu yuhuuu,bulliying
"""Lupa di edit ya tu muka melar""",lupa edit ya tu muka melar,bulliying
"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",semangatt kesalahan belajar bahasa asing pembelajaran utamanya kesalahannya ga terulang,non-bulliying
"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",kereennnn bullyan netizen menjadikanmu belajar,non-bulliying
"""Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya""",hiiihhh jiik lihat nih orang… auranya buruk bgt gak manis manisnya,bulliying
"""Semangat untuk belajar ya… saya uga gak bisa bahasa inggris""",semangat belajar ya… uga gak bahasa inggris,non-bulliying
"""Yang penting ada niat.. dan keberanian""",niat keberanian,non-bulliying
"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",salut mel semangat belajar yg ngetawain berani,non-bulliying
"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",gpp mel semangat belajar trusssss gampang nyerah pokoknya rosameldianti,non-bulliying
"""Setidaknya dia ngaku. bukan belagak pintar""",ngaku belagak pintar,non-bulliying
"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",kalo ngarep ikutan kontes miss earth les inggris biar lidahnya gak keseleo,bulliying
"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",postingan ya bund netizen menghujat,non-bulliying
"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",happy birthday mel sehat sukses yah aamiin,non-bulliying
"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",happy birthday kak meldi imut n ngegemesin sukses,non-bulliying
"""Ya ampun ketiak dan lemaknya editan parah wkwk""",ya ampun ketiak lemaknya editan parah wkwk,bulliying
"""Ketiaknya habis di amplas mel, alus banget""",ketiaknya habis amplas mel alus banget,bulliying
"""Udah diedit gitu, ketiak lu tetap hitam""",udah diedit gitu ketiak lu hitam,bulliying
"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",selamat ulang mel udah yah tingkah,non-bulliying
"""Mukanya kuning banget kaya kunyit""",mukanya kuning banget kaya kunyit,bulliying
"""Selamat ulang tahun meldi sukses dan sehat terus ya….""",selamat ulang meldi sukses sehat ya…,non-bulliying
"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",fotonya cantik ihhh biar gak kena hujat ihh mah kasihan,bulliying
"""HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",hbd meldi… semoga sukses umur rejekinya lancarkan amin,non-bulliying
"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",perasaan kemarin lengannya kekar banget kek petinju udah gitu ketiaknya hitam difoto lengannya ketiaknya putih kek dibedakin,bulliying
"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",selamat ulang kak rosameldianti banyaknya sadar pansos yah amin,non-bulliying
"""Hbd cantik semoga kedepannya tambah sukses""",hbd cantik semoga kedepannya sukses,non-bulliying
"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",hbd mbak mel cantik panjangkan umurnya sehat,non-bulliying
"""berdiri di kaki sendiri lebih baik""",berdiri kaki,non-bulliying
"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",biar edit2 kaya aja ketiak hitam nya ga bohongin,bulliying
"""Sumpah demi apapun.. Lengan nya gede banget""",sumpah apapun lengan nya gede banget,non-bulliying
"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",selamat ulang umur ketemu dajjal,non-bulliying
"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",ketiak hitam buluk lu edit nutupin daki diketek lu aka hitam ketiak lu dasar dugong rosameldianti,bulliying
"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",atm tinggal 150 ribu aja gaya lu dugong,bulliying
"""Gak ada bagus2nya suara dan polanya….""",gak bagus2nya suara polanya…,bulliying
"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",si meldi jelek aja gaya beda banget sm tante n sepupunya udah jelas2 cantik,bulliying
"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",dah berubah gak kayak gue lihat,bulliying
"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",ngedit ketiaknya dah ya ampe ngeblur pisan putihnya kek cat tembok,bulliying
"""Aduh dugong masih aja gila filter….""",aduh dugong aja gila filter…,bulliying
"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",muka aja didempul ketiak,bulliying
"""Kasian kebelet artis tapi gak punya bakat""",kasian kebelet artis gak bakat,bulliying
"""Yang merasa peliharaannya lepas, tolong diangkut""",peliharaannya lepas tolong diangkut,bulliying
"""Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",miris banget… ultah didoain baik2 bully kasian god bless u mel,bulliying
"""Mudah mudahan lu jadi gembel. Amin ya Allah""",mudah mudahan lu gembel amin ya allah,non-bulliying
"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",ketiaknya hitam dikasih bedak nya abu monyet,bulliying
"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",heran gua mah gasuka gausah follow dah tau ni akun private kalo lu follow ngebuli tanda nya lu sirik gasuka ya gausah diliat kaya sempurna aja,non-bulliying
"""Gua berharap lu aja si yg sakit bukan laura lol""",gua berharap lu aja si yg sakit laura lol,bulliying
"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",lo aja menderitaaa lora anj,bulliying
"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",gaga sempet beneran lora lo tinggalin lo orang jahat ga lo gak bahagia ga,bulliying
"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",lu bener gakalo sempet nyakitin lora gue santet,bulliying
"""Si gaga kok kek anjing""",si gaga kek anjing,bulliying
"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",semangat gaga liat kebelakang fokus aja kedepan muda yg,non-bulliying
"""Gak ada cantiknya. Gila yang ada""",gak cantiknya gila,bulliying
"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain""",meldi bersinar yaaa pertahanin karir jgn sia siain,bulliying
"""Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..""",semangat… apapun dalah dimata pembenci…,non-bulliying
"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",asli gak bebet bobo ni anak kasihan,bulliying
"""kumat… lama semedinya segini keluarnya""",kumat… semedinya segini keluarnya,bulliying
"""Tangannya hitam… beda ama muka""",tangannya hitam… beda ama muka,bulliying
"""Kok meldi di foto aku gendut beda""",meldi foto gendut beda,bulliying
"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??""",gatau sih cantik gak aura nya cantik idih gitu lihatnya yaa,non-bulliying
"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",buruk nya buruk mata ga menyukai mu,non-bulliying
"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",gila ni siluman story orang keliatan banget tumpukan2 lemaknya buriknya,non-bulliying
"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",dasar bego lu gua jijik lu bro kayak gak otak banget,bulliying
"""Lo kira lo bagus tuh begitu anjing wkwkw""",lo lo bagus tuh anjing wkwkw,bulliying
"""Di maafin aaa… semoga dia jera untuk kedepannya…""",maafin aaa… semoga jera kedepannya…,non-bulliying
"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",eh bocah mending lo mati aja gak orang kayak lo hahahahaha,bulliying
"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",btw video boong nya pas gak percaya lihat tribun news hujat ya,non-bulliying
"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",okay bro kalem aja semangat putus asa,non-bulliying
"""Lu Mati ajalah . Udah biar gak bikin ribet""",lu mati ajalah udah biar gak bikin ribet,bulliying
"""SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA""",sampah masyarakat musnahkan,bulliying
"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",mati kau najis kontol bangsat mati kau,bulliying
"""youtuber toxic, tutup akunmu sekalian tutup usia""",youtuber toxic tutup akunmu tutup usia,bulliying
"""Pada ribet kayak udah pada benar aja lu semua""",ribet kayak udah aja lu,bulliying
"""Jangan ada hitam diatas putih. Langsung proses""",hitam diatas putih langsung proses,bulliying
"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",sayang anaknya ya serahkan aja polisi biar didik,bulliying
"""Manusia apa hewan sih kok gak punya hati banget""",manusia hewan sih gak hati banget,bulliying
"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.""",manusia anjing nyari uang gitu lo kerja aja gue nyebokin gue ntar gue gaji lo,bulliying
"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",maklum anak pendidikan kayak gitu gak akhlak,bulliying
"""Anjing memang anak gak tau diri. ibunya sampai nangis2""",anjing anak gak tau ibunya nangis2,bulliying
"""oi babi gue bunuh lu kalau sampai kelihatan sumpah""",oi babi gue bunuh lu sumpah,bulliying
"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",heee sampah lu udah gua maafin boong goblok,bulliying
"""ANJING SINI LO BAKU HANTAM AYO""",anjing lo baku hantam ayo,bulliying
"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",bangkit ya bang lemah pelajaran ujian lu bang,non-bulliying
"""Jangan patah semngat kak sukses terus""",patah semngat kak sukses,non-bulliying
"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",semangat ferdian gausah dengerin orang hujat manusia luput kesalahan,non-bulliying
"""Sumpah sekarang aku respect banget sama kamu""",sumpah respect banget,non-bulliying
"""Menurutku pribadi, dia tulus minta maafnya….""",menurutku pribadi tulus maafnya…,non-bulliying
"""DIKASIH BIDADARI MAUNYA BONEKA SANTET""",dikasih bidadari maunya boneka santet,bulliying
"""Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol""",ilang respect gue jane udh setia bgt lu lu nya main cewe pas udh dri penjara lol,bulliying
"""Hapus ajh ni poto ngk tau malu bgt lu bang""",hapus ajh ni poto ngk tau malu bgt lu bang,non-bulliying
"""Intinya gasuka ajg selama ada listy . Ngrusak suasana""",intinya gasuka ajg listy ngrusak suasana,bulliying
